AccessModifierType	Allow Deny	
AccessoryType	Unknown Hat Hair Face Neck Shoulder Front Back Waist TShirt Shirt Pants Jacket Sweater Shorts LeftShoe RightShoe DressSkirt Eyebrow Eyelash	A subset of AssetTypes which are relevant to only accessories.
ActionOnAutoResumeSync	DontResume KeepStudio KeepLocal	
ActionOnStopSync	AlwaysAsk KeepLocalFiles DeleteLocalFiles	
ActionType	Nothing Pause Lose Draw Win	
ActivePayerStatus	Unknown Never Lapsed Casual50Percent Intermediate35Percent Top15Percent	Describes a player's payer status bucket for the current experience.
ActuatorRelativeTo	Attachment0 Attachment1 World	The CFrame value in which the body mover constraint is expressed.
ActuatorType	None Motor Servo	The active physics component of the constraint.
AdAvailabilityResult	IsAvailable DeviceIneligible ExperienceIneligible InternalError NoFill PlayerIneligible PublisherIneligible	
AdEventType	VideoLoaded VideoRemoved UserCompletedVideo RewardedAdLoaded RewardedAdGrant RewardedAdUnloaded	
AdFormat	RewardedVideo	
AdornCullingMode	Automatic Never	Culling method used for adornments.
AdornShading	Default Shaded XRay XRayShaded AlwaysOnTop	
AdShape	HorizontalRectangle	Describes the form factor of an ad in an `Class.AdGui`. There is currently only one available size.
AdTeleportMethod	Undefined PortalForward InGameMenuBackButton UIBackButton	
AdUIEventType	AdLabelClicked VolumeButtonClicked FullscreenButtonClicked PlayButtonClicked PauseButtonClicked CloseButtonClicked WhyThisAdClicked PlayEventTriggered PauseEventTriggered	
AdUIType	None Image Video	
AdUnitStatus	Inactive Active	Exposes the status of an immersive ad.
AlignType	Parallel Perpendicular PrimaryAxisParallel PrimaryAxisPerpendicular PrimaryAxisLookAt AllAxes	An enum that specifies how the constraint will attempt to align the body associated with the constraint.
AlphaMode	Overlay Transparency TintMask Opaque	Used by `Class.SurfaceAppearance.AlphaMode` to determine how the alpha channel of the `Class.SurfaceAppearance.ColorMap` of a `Class.SurfaceAppearance` is used.
AnalyticsCustomFieldKeys	CustomField01 CustomField02 CustomField03	Used to form a dictionary of custom fields to provide breakdowns in Roblox-provided charts.
AnalyticsEconomyAction	Default Acquire Spend	
AnalyticsEconomyFlowType	Sink Source	
AnalyticsEconomyTransactionType	IAP Shop Gameplay ContextualPurchase TimedReward Onboarding	
AnalyticsLogLevel	Trace Debug Information Warning Error Fatal	
AnalyticsProgressionStatus	Default Begin Complete Abandon Fail	This enum is used as an argument in `Class.AnalyticsService:FirePlayerProgressionEvent()` to describe the status of progression.
AnalyticsProgressionType	Custom Start Fail Complete	
AnimationClipFromVideoStatus	Initializing Pending Processing ErrorGeneric Success ErrorVideoTooLong ErrorNoPersonDetected ErrorVideoUnstable Timeout Cancelled ErrorMultiplePeople ErrorUploadingVideo	
AnimationNodeType	InvalidNode AddNode OverNode Blend1DNode Blend2DNode ClipNode GraphOutput MaskNode PrioritySelectNode RandomSequenceNode SelectNode SequenceNode SpeedNode SubtractNode	
AnimationPriority	Idle Movement Action Action2 Action3 Action4 Core	The AnimationPriority Enum determines how concurrently-playing AnimationTracks contribute to the final animation.
AnimatorRetargetingMode	Default Disabled Enabled	Animation Retargeting setting.
AnnotationEditingMode	None PlacingNew WritingNew	
AnnotationRequestStatus	Success Loading ErrorInternalFailure ErrorNotFound ErrorModerated	
AnnotationRequestType	Unknown Create Resolve Delete Edit	
AntiAliasing	Disabled Enabled	Determines whether anti-aliasing is applied when drawing on the instance.
AppLifecycleManagerState	Detached Active Inactive Hidden	
ApplyStrokeMode	Contextual Border	Used by `Class.UIStroke.ApplyStrokeMode` to determine where to apply the stroke.
AppShellActionType	None OpenApp TapChatTab TapConversationEntry TapAvatarTab ReadConversation TapGamePageTab TapHomePageTab GamePageLoaded HomePageLoaded AvatarEditorPageLoaded HomePageInteractive	
AppShellFeature	None Chat AvatarEditor GamePage HomePage More Landing	
AppUpdateStatus	Unknown NotSupported Failed NotAvailable Available AvailableBoundChannel AvailableBetaProgram	
AspectType	FitWithinMaxSize ScaleWithParentSize	Used by `Class.UIAspectRatioConstraint.AspectType` to control sizing behavior.
AssetCreatorType	User Group	
AssetFetchStatus	Success Failure None Loading TimedOut	
AssetType	Image TShirt Audio Mesh Lua Hat Place Model Shirt Pants Decal Head Face Gear Badge Animation Torso RightArm LeftArm LeftLeg RightLeg Package GamePass Plugin MeshPart HairAccessory FaceAccessory NeckAccessory ShoulderAccessory FrontAccessory BackAccessory WaistAccessory ClimbAnimation DeathAnimation FallAnimation IdleAnimation JumpAnimation RunAnimation SwimAnimation WalkAnimation PoseAnimation EarAccessory EyeAccessory EmoteAnimation Video TShirtAccessory ShirtAccessory PantsAccessory JacketAccessory SweaterAccessory ShortsAccessory LeftShoeAccessory RightShoeAccessory DressSkirtAccessory FontFamily EyebrowAccessory EyelashAccessory MoodAnimation DynamicHead FaceMakeup LipMakeup EyeMakeup VoxelFragment	This Enum can be used to match the AssetTypeId from `Class.MarketplaceService:GetProductInfoAsync()` to an asset type.
AssetTypeVerification	Default ClientOnly Always	Determines the asset type verification mode.
AudioApiRollout	Disabled Automatic Enabled	Used to determine whether voice chat is represented and controlled by `Class.AudioDeviceInput` objects.
AudioCaptureMode		
AudioChannelLayout	Mono Stereo Quad Surround_5 Surround_5_1 Surround_7_1 Surround_7_1_4	Describes the channel layout of an audio stream.
AudioFilterType	Peak LowShelf HighShelf Lowpass12dB Lowpass24dB Lowpass48dB Highpass12dB Highpass24dB Highpass48dB Bandpass Notch Lowpass6dB	Filter types used for `Class.AudioFilter` instances.
AudioSimulationFidelity	None Automatic	Enum which determines how detailed audio simulation should be for `Class.AudioEmitter|AudioEmitters` and `Class.AudioListener|AudioListeners`.
AudioSubType	Music SoundEffect	The categorization of an audio asset.
AudioWindowSize	Small Medium Large	For audio effects that use some internal buffering, determines the window-size used.
AuthorityMode	Server Automatic	Enum used with `Class.Workspace.AuthorityMode`.
AutoIndentRule	Off Absolute Relative	
AutomaticSize	None X Y XY	UI objects with `Class.GuiObject.AutomaticSize|AutomaticSize` enabled will increase in size up to maximum size allowed by the parent (if there is one) and no smaller than the `Class.GuiObject.Size|Size` property bounds.
AvatarAssetType	TShirt Hat Shirt Pants Head Face Gear Torso RightArm LeftArm LeftLeg RightLeg HairAccessory FaceAccessory NeckAccessory ShoulderAccessory FrontAccessory BackAccessory WaistAccessory ClimbAnimation FallAnimation IdleAnimation JumpAnimation RunAnimation SwimAnimation WalkAnimation EmoteAnimation TShirtAccessory ShirtAccessory PantsAccessory JacketAccessory SweaterAccessory ShortsAccessory LeftShoeAccessory RightShoeAccessory DressSkirtAccessory EyebrowAccessory EyelashAccessory MoodAnimation DynamicHead FaceMakeup LipMakeup EyeMakeup	Describes the asset types that an avatar can equip.
AvatarChatServiceFeature	None UniverseAudio UniverseVideo PlaceAudio PlaceVideo UserAudioEligible UserAudio UserVideoEligible UserVideo UserBanned UserVerifiedForVoice	
