Accessory	Accoutrement	An item that a Character can wear.
AccessoryDescription	Instance	Describes the appearance of an `Class.Accessory` for the `Class.HumanoidDescription`.
Accoutrement	Instance	An object that can attach to a player's character.
Actor	Model	An `Class.Actor` is a container for code that can be safely split into its own thread.
AdGui	SurfaceGuiBase	
AdPortal	Instance	
AdService	Instance	A class that allows the display of mobile video ads.
AdvancedDragger	Instance	An unfinished advanced variant of the `Class.Dragger` class.
AirController	ControllerBase	
AlignOrientation	Constraint	Constraint which applies torque to align two attachments, or to align one attachment with a goal orientation.
AlignPosition	Constraint	Constraint which applies force to move two attachments together, or to move one attachment to a goal position.
AnalyticsService	Instance	Collection of methods that allows you to track how users interact with your experiences.
AngularVelocity	Constraint	Applies torque on an assembly to maintain a constant angular velocity.
Animation	Instance	References an animation asset which can be loaded by an `Class.AnimationController`.
AnimationClip	Instance	Represents all types of animation data that the Roblox animation system can consume.
AnimationClipProvider	Instance	Provides functions to load and preview `Class.AnimationClip|AnimationClips`.
AnimationConstraint	Constraint	Aligns two `Class.BasePart|BaseParts` with an animate-able kinematic or force-based joint.
AnimationController	Instance	Allows animations to be loaded and applied to a character or model in place of a `Class.Humanoid`.
AnimationFromVideoCreatorService	Instance	
AnimationNodeDefinition	Instance	
AnimationRigData	Instance	Used to store information regarding the model an animation was authored for.
AnimationTrack	Instance	Controls the playback of an animation on an `Class.Animator`.
Animator	Instance	Responsible for the playback and replication of `Class.Animation|Animations`.
Annotation	Instance	
ArcHandles	HandlesBase	The `Class.ArcHandles` object places 3D arc handles around any 3D object that its `Class.PartAdornment.Adornee|Adornee` is set to.
AssetDeliveryProxy	Instance	
AssetPatchSettings	Instance	
AssetService	Instance	A non-replicated service that handles asset-related queries to the Roblox web API.
Atmosphere	Instance	The `Class.Atmosphere` object pushes Roblox closer toward realistic environments where sunlight scatters in different ways depending on density and other air particle properties.
AtmosphereSensor	SensorBase	A `Class.SensorBase` that outputs data about the `Class.AtmosphereSensor.AirDensity|AirDensity` and `Class.AtmosphereSensor.RelativeWindVelocity|RelativeWindVelocity` at the sensor's position.
Attachment	Instance	Defines a point and orientation relative to an ancestor `Class.PVInstance`, `Class.Bone`, or another `Class.Attachment`.
AudioAnalyzer	Instance	Takes measurements from audio streams that are connected to it via one or more `Class.Wire|Wires`.
AudioChannelMixer	Instance	Combines multiple audio streams into a single, multichannel audio stream.
AudioChannelSplitter	Instance	Splits an audio stream into component channels so that each can be processed independently.
AudioChorus	Instance	Makes an audio stream sound more voluminous. If applied to a single voice, it may sound like multiple voices.
AudioCompressor	Instance	Adjusts the dynamic range of input streams.
AudioDeviceInput	Instance	Produces audio streams from physical devices, such as microphones.
AudioDeviceOutput	Instance	Accepts audio streams to be rendered out to physical hardware devices such as speakers or headphones.
AudioDistortion	Instance	Distorts audio streams, making them sound fuzzier, grittier, and louder.
AudioEcho	Instance	Overlays delayed copies of audio streams.
AudioEmitter	Instance	Emits audio streams into the world.
AudioEqualizer	Instance	Adjusts the frequency content of audio streams.
AudioFader	Instance	Adjusts the volume of audio streams.
AudioFilter	Instance	Adjusts the frequency content of audio streams.
AudioFlanger	Instance	Imparts a whooshing or sweeping sound on audio streams.
AudioGate	Instance	Mutes audio streams that fall below a certain volume threshold.
AudioLimiter	Instance	Limits how loud audio streams are allowed to be.
AudioListener	Instance	Records an audio stream from its surrounding `Class.AudioEmitter|AudioEmitters` in the 3D world.
AudioPages	Pages	A special version of the `Class.Pages` class returned by `Class.AssetService:SearchAudioAsync()`.
AudioPitchShifter	Instance	Adjusts the perceived pitch of audio streams.
AudioPlayer	Instance	Used to play audio assets.
AudioRecorder	Instance	Records audio streams in-experience.
AudioReverb	Instance	Reverberates audio streams.
AudioSearchParams	Instance	Instance to be passed to `Class.AssetService:SearchAudioAsync()` to search for audio assets.
AudioSpeechToText	Instance	Converts spoken audio into text.
AudioTextToSpeech	Instance	Plays text as speech audio.
AudioTremolo	Instance	Creates a trembling effect on a sound by varying the volume of the sound up and down.
AvatarCreationService	Instance	A service to support developer avatar creators.
AvatarEditorService	Instance	A service to support developer Avatar Editors.
Backpack	Instance	A container object that holds a player's inventory. Any `Class.Tool` in a player's `Backpack` will be displayed in their inventory at the bottom of the screen.
BackpackItem	Model	BackpackItem is an abstract class for backpack items such as HopperBins and Tools.
BadgeService	Instance	Provides information on badges and awards them.
BallSocketConstraint	Constraint	Forces its two attachments into the same position and allows them to freely rotate about all three axes, with optional limits to restrict both tilt and twist.
BanHistoryPages	Pages	Returned by `Class.Players:GetBanHistoryAsync` to view the entire ban and unban history of any UserId.
BaseCoreGuiConfiguration	Instance	
BasePart	PVInstance	The abstract base class for in-world objects that physically interact.
BasePlayerGui	Instance	`BasePlayerGui` is an abstract class which the GUI drawing storage classes inherit from.
BaseRemoteEvent	Instance	
BaseScript	LuaSourceContainer	The base class for all script objects which run automatically.
BaseWrap	Instance	
Beam	Instance	Connects two `Class.Attachment|Attachments` by drawing a texture between them.
BevelMesh	DataModelMesh	An abstract class that `Class.BlockMesh` and `Class.CylinderMesh` inherit from.
BillboardGui	LayerCollector	A container for `Class.GuiObject|GuiObjects` that renders in 3D space facing the camera.
BinaryStringValue	ValueBase	An internal type of `Class.StringValue` object, that stores a `BinaryString` value.
BindableEvent	Instance	An object which enables custom events through asynchronous one-way communication between scripts on the same side of the client-server boundary. Scripts firing a `Class.BindableEvent` do not yield.
BindableFunction	Instance	An object which allows for synchronous two-way communication between scripts on the same side of the client-server boundary. Scripts invoking a `Class.BindableFunction` yield until the corresponding callback is found.
BlockMesh	BevelMesh	The BlockMesh object applies a 'brick' mesh to the `Class.BasePart` it is parented to. It behaves identically to a `Class.SpecialMesh` with `Class.SpecialMesh.MeshType` set to 'Brick'.
BloomEffect	PostEffect	Simulates the camera viewing a very bright light.
BlurEffect	PostEffect	Applies a blur to the entire game world.
BodyAngularVelocity	BodyMover	Applies a torque to maintain a constant angular velocity.
BodyColors	CharacterAppearance	For a Humanoid character, the BodyColors will specify the colors for the different body parts.
BodyForce	BodyMover	Applies a constant force to an object.
BodyGyro	BodyMover	Applies a torque to maintain a constant orientation.
BodyMover	Instance	Base class for objects that continually exert forces to assemblies.
BodyPartDescription	Instance	Describes the appearance of an avatar body part for the `Class.HumanoidDescription`.
BodyPosition	BodyMover	Applies a force to maintain a constant position.
BodyThrust	BodyMover	Applies a constant force to an object at a specific point.
BodyVelocity	BodyMover	Applies a force to maintain a constant velocity.
Bone	Attachment	Bones are non-rendered objects that drive the movement of one or more parts for the purposes of animation, or creating clothing and characters.
BoolValue	ValueBase	A container object for a single boolean value.
BoxHandleAdornment	HandleAdornment	A box-shaped handle that can be adorned to a `Class.BasePart`.
BrickColorValue	ValueBase	A container object for a single BrickColor value.
BrowserService	Instance	
BubbleChatConfiguration	TextChatConfigurations	Allows for customization of text chat bubbles through `Class.TextChatService`.
BubbleChatMessageProperties	TextChatMessageProperties	
BuoyancySensor	SensorBase	A `Class.SensorBase` that outputs data about how its `Class.BasePart` is interacting with `Class.Terrain` water.
CacheableContentProvider	Instance	A variant of the `Class.ContentProvider` that caches assets that have already been received. This service is not used directly, but it is used by the services that inherit from it.
Camera	PVInstance	A class which defines a view of the 3D world.
CanvasGroup	GuiObject	Blends descendants as a group with color/transparency.
Capture	Object	A class which defines a piece of content, such as a screenshot or video, taken in-experience.
CaptureService	Instance	A service which provides control over screenshot and video capture features.
CapturesPages	Pages	A special version of the `Class.Pages` class returned by `Class.CaptureService.ReadCapturesFromGalleryAsync`.
CapturesViewConfiguration	BaseCoreGuiConfiguration	
CatalogPages	Pages	
CFrameValue	ValueBase	A container object for a single CFrame value.
ChangeHistoryService	Instance	**Must** be used by plugins to communicate to Studio how to undo and redo the changes which they make to the experience.
ChannelTabsConfiguration	TextChatConfigurations	Configures properties of the optional channel tabs in the default chat window.
CharacterAppearance	Instance	The base class for objects that change the character's appearance, such as the `Class.BodyColors`, `Class.CharacterMesh`, `Class.ShirtGraphic`, `Class.Pants` and `Class.Shirt` objects.
CharacterMesh	CharacterAppearance	Modifies the appearance of an R6 body part.
Chat	Instance	Houses the Luau code responsible for running the legacy chat system.
ChatInputBarConfiguration	TextChatConfigurations	Configures properties of the default chat input bar.
ChatWindowConfiguration	TextChatConfigurations	Configures properties of the default chat window.
ChatWindowMessageProperties	TextChatMessageProperties	
ChorusSoundEffect	SoundEffect	Makes audio more voluminous by simulating multiple voices playing the same part.
ClickDetector	Instance	An object that provides user input on in-experience `Class.BasePart|BaseParts` and `Class.Model|Models`.
ClientReplicator	NetworkReplicator	
ClimbController	ControllerBase	
Clothing	CharacterAppearance	Clothing is the base class for the `Class.Shirt` and `Class.Pants` clothing objects.
Clouds	Instance	Renders realistic clouds that drift slowly across the sky.
ClusterPacketCache	Instance	An internal service meant to cache cluster packets.
CollectionService	Instance	A service which manages instance collections using assigned tags.
Color3Value	ValueBase	A container object for a single Color3 value.
ColorCorrectionEffect	PostEffect	Adjusts color-related properties of the rendered world like saturation, tint, brightness, and contrast.
ColorGradingEffect	PostEffect	Modifies how color values calculated by the renderer should be converted to the screen's color range.
CommerceService	Instance	Supports real-world purchases that you can bundle with digital benefits.
CompositeValueCurve	Instance	An animation curve that groups child `Class.FloatCurve|FloatCurves` which each animate a different component of a non-unary value.
CompressorSoundEffect	SoundEffect	Adjusts the dynamic range of audio.
ConeHandleAdornment	HandleAdornment	A cone-shaped handle that can be adorned to a `Class.BasePart`.
ConfigService	Instance	A game service that gives access to in-experience configuration with updates in real time.
ConfigSnapshot	Object	A snapshot of configuration values at a given version. Can be player-specific.
Configuration	Instance	A container object designed to hold value objects. Makes values used in `Class.Tool|Tools` or any model using `Class.Script|Scripts` more accessible.
ConfigureServerService	Instance	
Constraint	Instance	The base class for constraint-based objects.
ContentProvider	Instance	Service that is used to load content, or assets, into a game.
ContextActionService	Instance	A service used to bind user input to contextual actions.
Controller	Instance	The base class for controller objects, such as the `Class.HumanoidController` object.
ControllerBase	Instance	
